league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
ESP-La Liga,2324,Cádiz,Karl Etta,CMR,FW,20-030,2004,1,21,21,1.1,0.2,0,,0,1,21,0,0.0,0,0,0,0.0,0.74,0.0,0.8,-0.8,-3.41,-2.79
ESP-La Liga,2324,Cádiz,Lucas,BRA,DF,22-313,2001,16,965,60,48.7,10.7,9,90,8,7,23,6,0.63,5,16,-11,-1.03,-0.58,9.1,14.7,-5.7,-0.53,0.23
ESP-La Liga,2324,Cádiz,Luis Hernández,ESP,DF,34-292,1989,9,723,80,36.5,8.0,8,90,8,1,3,0,1.0,6,13,-7,-0.87,-0.23,8.3,13.1,-4.8,-0.59,0.08
ESP-La Liga,2324,Cádiz,Mamadou Mbaye,SEN,DF,25-217,1998,4,288,72,14.5,3.2,2,90,2,2,54,15,0.75,2,5,-3,-0.94,-0.25,1.6,5.7,-4.2,-1.3,-0.77
ESP-La Liga,2324,Cádiz,Maxi Gómez,URU,FW,27-170,1996,17,706,42,35.7,7.8,7,66,0,10,24,3,0.65,3,14,-11,-1.4,-1.05,5.8,11.5,-5.7,-0.73,-0.13
ESP-La Liga,2324,Cádiz,Milutin Osmajić,MNE,MF,24-190,1999,1,5,5,0.3,0.1,0,,0,1,5,2,0.0,0,1,-1,-18.0,-17.32,0.2,0.5,-0.3,-5.37,-4.74
ESP-La Liga,2324,Cádiz,Moussa Diakité,MLI,MF,20-088,2003,1,1,1,0.1,0.0,0,,0,1,1,1,1.0,0,0,0,0.0,0.73,0.0,0.0,0.0,0.0,0.64
ESP-La Liga,2324,Cádiz,Roberto Navarro,ESP,MF,21-294,2002,12,619,52,31.3,6.9,8,61,1,4,33,4,0.42,3,10,-7,-1.02,-0.42,5.3,8.3,-3.0,-0.43,0.31
ESP-La Liga,2324,Cádiz,Roger Martí,ESP,FW,33-028,1991,16,1045,65,52.8,11.6,14,71,2,2,25,0,0.88,12,11,1,0.09,1.72,11.2,14.8,-3.7,-0.32,0.69
ESP-La Liga,2324,Cádiz,Rominigue Kouamé,MLI,MF,27-045,1996,10,517,52,26.1,5.7,5,78,2,5,26,3,0.4,6,11,-5,-0.87,-0.19,5.8,9.3,-3.5,-0.62,0.04
ESP-La Liga,2324,Cádiz,Rubén Alcaraz,ESP,MF,32-275,1991,21,1784,85,90.1,19.8,21,85,14,0,,0,0.76,15,24,-9,-0.45,2.76,16.6,27.4,-10.7,-0.54,1.04
